school_year,busbreakdown_id,run_type,bus_no,route_number,reason,schools_serviced,occurred_on,created_on,boro,bus_company_name,how_long_delayed,number_of_students_on_the_bus,has_contractor_notified_schools,has_contractor_notified_parents,have_you_alerted_opt,informed_on,incident_number,last_updated_on,breakdown_or_running_late,school_age_or_prek
2025-2026,2024656,Special Ed PM Run,1935,N666,Heavy Traffic,"02016,02076",2025-10-23 14:30:00,2025-10-23 15:14:00,Bronx,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-10-23 15:14:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2024810,General Ed AM Run,671,X8512,Heavy Traffic,"09028,09035,09055,09173,09311,09620",2025-10-24 06:42:00,2025-10-24 06:43:00,Bronx,PIONEER TRANSPORTATION CORP,16-30 Min,0,No,No,No,2025-10-24 06:43:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2024962,Special Ed AM Run,1456,N133,Problem Run,02930,2025-10-24 07:00:00,2025-10-24 07:39:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-10-24 07:39:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2025133,Special Ed PM Run,GT1446,Y146,Heavy Traffic,"07052,07522",2025-10-24 14:10:00,2025-10-24 14:16:00,Bronx,"DON THOMAS BUSES, INC. (B2321)",0-15 Min,0,Yes,Yes,No,2025-10-24 14:16:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2025263,Special Ed AM Run,1648,M171,Heavy Traffic,02209,2025-10-27 06:00:00,2025-10-27 06:09:00,Manhattan,L & M BUS CORP (A),61-90 Min,0,Yes,Yes,No,2025-10-27 06:09:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2018292,Special Ed AM Run,53,K742,Heavy Traffic,"15003,15130,15230,15889",2025-09-30 07:30:00,2025-09-30 07:32:00,Brooklyn,CAREFUL BUS,16-30 Min,1,No,No,No,2025-09-30 07:32:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2025529,Pre-K/EI,154,6,Heavy Traffic,C586,2025-10-27 07:56:00,2025-10-27 07:59:00,Bronx,"G.V.C., LTD.",16-30 Min,12,Yes,Yes,No,2025-10-27 07:59:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2025687,Special Ed AM Run,1927,K629,Heavy Traffic,"15087,15094,15131,15169,15360,15896",2025-10-27 14:38:00,2025-10-27 14:40:00,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,16-30 Min,0,No,No,No,2025-10-27 14:40:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2025813,General Ed AM Run,612,K1557,Heavy Traffic,"15169,15881",2025-10-28 06:12:00,2025-10-28 06:13:00,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,16-30 Min,0,Yes,Yes,Yes,2025-10-28 06:13:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2025942,Special Ed AM Run,1806,M179,Heavy Traffic,"02568,02991",2025-10-28 07:08:00,2025-10-28 07:09:00,Manhattan,HOYT TRANSPORTATION CORP.,16-30 Min,2,No,No,No,2025-10-28 07:09:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2018759,Special Ed AM Run,576,L126,Heavy Traffic,"22902,27479",2025-10-01 07:30:00,2025-10-01 07:39:00,Queens,L & M BUS CORP (A),61-90 Min,2,Yes,No,No,2025-10-01 07:39:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2026224,Special Ed AM Run,9020,Y209,Heavy Traffic,"09015,09042",2025-10-29 05:10:00,2025-10-29 05:27:00,Bronx,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-10-29 05:27:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2026367,Special Ed AM Run,41101,K069,Heavy Traffic,"19020,19065,19464,19639,19764",2025-10-29 07:05:00,2025-10-29 07:06:00,Brooklyn,EMPIRE CHARTER SERVICE INC,16-30 Min,4,No,No,No,2025-10-29 07:06:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2026503,Special Ed AM Run,82203,M103,Heavy Traffic,02142,2025-10-29 08:02:00,2025-10-29 08:04:00,Manhattan,"BORO TRANSIT, INC.",0-15 Min,0,Yes,No,No,2025-10-29 08:04:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2026635,Special Ed PM Run,5426,M415,Heavy Traffic,05079,2025-10-29 14:18:00,2025-10-29 14:42:00,Manhattan,NYC SCHOOL BUS UMBRELLA SERVICES,16-30 Min,0,Yes,No,No,2025-10-29 14:42:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2026795,Special Ed AM Run,634,X326,Heavy Traffic,"12061,12190,12251,12511",2025-10-30 06:46:00,2025-10-30 06:47:00,Bronx,PIONEER TRANSPORTATION CORP,0-15 Min,0,Yes,No,No,2025-10-30 06:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2008-2009,865350,General Ed Field Trip,2324,X2017,,11454,2008-10-24 09:20:00,2008-10-24 09:24:00,Bronx,"GRANDPA`S BUS CO., INC.",,0,Yes,Yes,Yes,2008-10-24 09:24:00,,2008-10-24 09:30:10,Breakdown,School-Age
2025-2026,2027041,Special Ed AM Run,1921,L700,Heavy Traffic,20685,2025-10-30 08:25:00,2025-10-30 08:27:00,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,46-60 Min,5,No,No,No,2025-10-30 08:27:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2027141,Special Ed PM Run,1925,K627,Heavy Traffic,"15689,15704",2025-10-30 14:29:00,2025-10-30 14:30:00,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,16-30 Min,0,Yes,No,Yes,2025-10-30 14:30:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2027287,Special Ed AM Run,4015,P408,Heavy Traffic,"26433,26515",2025-10-31 05:20:00,2025-10-31 05:30:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-10-31 05:30:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2027371,Special Ed AM Run,57,K711,Heavy Traffic,"21066,21565",2025-10-31 06:27:00,2025-10-31 06:27:00,Brooklyn,CAREFUL BUS,16-30 Min,1,No,No,No,2025-10-31 06:27:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2027519,Special Ed AM Run,915,R700,Heavy Traffic,"31045,31065,31074",2025-10-31 07:39:00,2025-10-31 07:40:00,Staten Island,ALL AMERICAN SCHOOL BUS CORP.,0-15 Min,0,Yes,Yes,No,2025-10-31 07:40:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2027644,Special Ed PM Run,14981,Q936,Heavy Traffic,24154,2025-10-31 14:00:00,2025-10-31 14:10:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-10-31 14:10:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2027770,Special Ed AM Run,74638,X164,Heavy Traffic,11505,2025-11-03 06:25:00,2025-11-03 06:26:00,Bronx,VAN TRANS LLC (B2192),0-15 Min,0,Yes,Yes,No,2025-11-03 06:26:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2018871,Special Ed AM Run,558,P623,Heavy Traffic,"26133,26918",2025-10-01 08:15:00,2025-10-01 09:38:00,Queens,L & M BUS CORP (A),61-90 Min,5,Yes,No,No,2025-10-01 09:38:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2018512,Special Ed AM Run,620,M208,Heavy Traffic,"03008,03547",2025-10-01 05:00:00,2025-10-01 05:13:00,Manhattan,L & M BUS CORP (A),61-90 Min,0,Yes,Yes,No,2025-10-01 05:13:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2028086,Special Ed AM Run,1921,L700,Heavy Traffic,20685,2025-11-03 08:11:00,2025-11-03 08:12:00,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,31-45 Min,0,No,No,No,2025-11-03 08:12:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2019776,Special Ed AM Run,1448,N272,Problem Run,03910,2025-10-06 07:00:00,2025-10-06 08:18:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-10-06 08:18:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2028307,Special Ed AM Run,2816,K639,Other,"22152,22315,22480",2025-11-05 05:45:00,2025-11-05 05:55:00,Brooklyn,NYC SCHOOL BUS UMBRELLA SERVICES,31-45 Min,0,Yes,No,Yes,2025-11-05 05:55:00,,2025-11-05 06:45:47,Running Late,School-Age
2025-2026,2022470,General Ed AM Run,224,R1130,Heavy Traffic,"31011,31086,31470",2025-10-16 06:40:00,2025-10-16 06:47:00,Staten Island,PIONEER TRANSPORTATION CORP,16-30 Min,0,Yes,No,No,2025-10-16 06:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2028529,Special Ed AM Run,10523,K019,Heavy Traffic,"16018,16081,16409,16460",2025-11-05 07:35:00,2025-11-05 07:38:00,Brooklyn,"BORO TRANSIT, INC.",31-45 Min,0,Yes,No,No,2025-11-05 07:38:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2028664,General Ed Field Trip,314,X2276,Heavy Traffic,07818,2025-11-05 09:17:00,2025-11-05 09:18:00,Bronx,PIONEER TRANSPORTATION CORP,16-30 Min,0,No,No,No,2025-11-05 09:18:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2020215,Special Ed AM Run,2420,N063,Problem Run,"02655,02667,02908,02948",2025-10-07 07:00:00,2025-10-07 08:13:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-10-07 08:13:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2028904,Special Ed AM Run,86032,Y513,Other,11910,2025-11-06 06:37:00,2025-11-06 06:38:00,All Boroughs,"BORO TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,2025-11-06 06:38:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2023675,Special Ed AM Run,578,Q209,Heavy Traffic,28407,2025-10-21 08:15:00,2025-10-21 08:47:00,Brooklyn,L & M BUS CORP (A),61-90 Min,6,Yes,No,No,2025-10-21 08:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2029168,Special Ed PM Run,5117,K224,Heavy Traffic,"21114,21465",2025-11-06 13:01:00,2025-11-06 13:12:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,No,No,2025-11-06 13:12:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2029271,Special Ed AM Run,19676,K125,Heavy Traffic,"19029,19460,19753",2025-11-07 05:46:00,2025-11-07 05:48:00,Brooklyn,"BORO TRANSIT, INC.",0-15 Min,0,Yes,No,No,2025-11-07 05:48:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2029389,Special Ed AM Run,10486,Q906,Heavy Traffic,28477,2025-11-07 06:47:00,2025-11-07 06:48:00,Queens,HOYT TRANSPORTATION CORP.,16-30 Min,1,Yes,Yes,No,2025-11-07 06:48:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2029517,Special Ed AM Run,1361,N593,Problem Run,"02490,02698",2025-11-07 07:00:00,2025-11-07 07:31:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-11-07 07:31:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2029665,Special Ed AM Run,1188,L642,Heavy Traffic,"16360,16502",2025-11-07 14:24:00,2025-11-07 14:26:00,Bronx,NYC SCHOOL BUS UMBRELLA SERVICES,46-60 Min,0,Yes,No,No,2025-11-07 14:26:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2022609,Special Ed AM Run,14740,K267,Heavy Traffic,"32123,32145,32162,32349,32368",2025-10-16 07:40:00,2025-10-16 07:45:00,Brooklyn,"BORO TRANSIT, INC.",16-30 Min,0,Yes,Yes,No,2025-10-16 07:45:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2029887,Pre-K/EI,PL1830,BX21,Heavy Traffic,S107,2025-11-10 07:05:00,2025-11-10 07:13:00,Bronx,PHILLIPS BUS SERVICE,31-45 Min,9,Yes,Yes,Yes,2025-11-10 07:13:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2022875,Special Ed AM Run,74608,X369,Heavy Traffic,"10205,10264,10524,10565",2025-10-17 06:00:00,2025-10-17 06:14:00,Bronx,VAN TRANS LLC (B2192),0-15 Min,0,No,No,No,2025-10-17 06:14:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2030125,Special Ed PM Run,1958,N496,Other,"02531,02601,02986",2025-11-10 14:20:00,2025-11-10 14:37:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),,0,No,No,No,2025-11-10 14:37:00,,1900-01-01 00:00:00,Breakdown,School-Age
2025-2026,2030227,Special Ed AM Run,11636,K025,Other,"21468,21907",2025-11-12 06:20:00,2025-11-12 06:28:00,Brooklyn,"BORO TRANSIT, INC.",16-30 Min,0,Yes,Yes,No,2025-11-12 06:28:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2030341,Special Ed AM Run,1912,N103,Problem Run,"04043,04403,04469,04504",2025-11-12 07:00:00,2025-11-12 07:16:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-11-12 07:16:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2030474,Special Ed AM Run,1486,N575,Problem Run,"02033,02301,02566",2025-11-12 07:30:00,2025-11-12 08:01:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-11-12 08:01:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2030625,Special Ed AM Run,9020,Y209,Heavy Traffic,"09015,09042",2025-11-13 05:10:00,2025-11-13 05:22:00,Bronx,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-11-13 05:22:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2030758,Special Ed AM Run,1248,Q235,Heavy Traffic,"30367,30472,30512,30539",2025-11-13 06:58:00,2025-11-13 07:00:00,Queens,HOYT TRANSPORTATION CORP.,16-30 Min,0,Yes,Yes,No,2025-11-13 07:00:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2021225,Special Ed AM Run,24629,X021,Problem Run,11465,2025-10-10 06:02:00,2025-10-10 06:04:00,Bronx,VAN TRANS LLC (B2192),0-15 Min,0,Yes,Yes,No,2025-10-10 06:04:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2031031,Special Ed AM Run,089,L742,Heavy Traffic,"15854,17027,17652,17685,18684",2025-11-14 05:36:00,2025-11-14 05:37:00,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,16-30 Min,0,Yes,Yes,Yes,2025-11-14 05:37:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2031177,Special Ed AM Run,5556,Q125,Other,"25053,25184,25294",2025-11-14 06:54:00,2025-11-14 06:56:00,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,46-60 Min,19,No,No,No,2025-11-14 06:56:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2031314,Special Ed AM Run,GT1476,Y189,Heavy Traffic,"08018,08093,08131,08367",2025-11-14 07:45:00,2025-11-14 07:50:00,Bronx,"DON THOMAS BUSES, INC. (B2321)",0-15 Min,7,Yes,Yes,No,2025-11-14 07:50:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2031447,Special Ed AM Run,16146,K063,Heavy Traffic,"21003,21644,22194,22286",2025-11-17 05:00:00,2025-11-17 05:07:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-11-17 05:07:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2031575,Special Ed AM Run,VS0088,K948,Other,"32106,32299,32554",2025-11-17 06:00:00,2025-11-17 06:32:00,Brooklyn,EMPIRE CHARTER SERVICE INC,0-15 Min,1,Yes,Yes,No,2025-11-17 06:32:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2031711,Special Ed AM Run,GT1416,Y206,Heavy Traffic,"09294,09311,09555",2025-11-17 07:15:00,2025-11-17 07:21:00,Bronx,"DON THOMAS BUSES, INC. (B2321)",0-15 Min,4,No,No,No,2025-11-17 07:21:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2031806,Special Ed AM Run,GT1476,Y189,Heavy Traffic,"08018,08093,08131,08367",2025-11-17 07:45:00,2025-11-17 07:47:00,Bronx,"DON THOMAS BUSES, INC. (B2321)",0-15 Min,4,Yes,Yes,No,2025-11-17 07:47:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2031930,General Ed AM Run,4121,K1788,Won`t Start,13811,2025-11-17 09:24:00,2025-11-17 09:53:00,Brooklyn,QUALITY TRANSPORTATION CORP.,,0,Yes,No,No,2025-11-17 09:53:00,,1900-01-01 00:00:00,Breakdown,School-Age
2025-2026,2021336,Pre-K/EI,PL1410,NT02,Heavy Traffic,C472,2025-10-10 07:00:00,2025-10-10 07:06:00,Queens,ALINA SERVICES CORP.,31-45 Min,5,Yes,Yes,Yes,2025-10-10 07:06:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2032174,Special Ed AM Run,089,P941,Heavy Traffic,"28342,28407",2025-11-18 06:25:00,2025-11-18 06:28:00,Queens,ALL AMERICAN SCHOOL BUS CORP.,16-30 Min,0,Yes,Yes,Yes,2025-11-18 06:28:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2032295,Special Ed AM Run,69,M153,Heavy Traffic,"03710,03712",2025-11-18 07:21:00,2025-11-18 07:23:00,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,16-30 Min,0,Yes,Yes,Yes,2025-11-18 07:23:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2032416,Special Ed AM Run,1372,N204,Heavy Traffic,04016,2025-11-18 07:00:00,2025-11-18 08:01:00,Bronx,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-11-18 08:01:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2023178,Special Ed PM Run,5586,Q094,Heavy Traffic,"29003,29045,29445",2025-10-17 13:10:00,2025-10-17 13:14:00,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,46-60 Min,0,No,No,No,2025-10-17 13:14:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2032600,Special Ed AM Run,2002,P172,Heavy Traffic,"24097,24293,24422",2025-11-19 05:00:00,2025-11-19 05:53:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,No,No,No,2025-11-19 05:53:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2021418,Special Ed AM Run,1386,N132,Heavy Traffic,02930,2025-10-10 08:00:00,2025-10-10 08:29:00,Bronx,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-10-10 08:29:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2032823,Special Ed AM Run,7121,P870,Heavy Traffic,"25076,25201,25219,25450",2025-11-19 07:33:00,2025-11-19 07:36:00,Queens,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,5,Yes,Yes,No,2025-11-19 07:36:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2032937,Special Ed AM Run,1600,N684,Weather Conditions,"05092,05123,05148,05175,05551",2025-11-19 08:16:00,2025-11-19 08:18:00,Manhattan,HOYT TRANSPORTATION CORP.,0-15 Min,3,Yes,Yes,No,2025-11-19 08:18:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2033060,General Ed PM Run,20398,M9022,Heavy Traffic,"02059,02809,02963",2025-11-19 12:25:00,2025-11-19 14:31:00,All Boroughs,SNT BUS INC,16-30 Min,0,No,No,No,2025-11-19 14:31:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2033198,Special Ed AM Run,32,N576,Heavy Traffic,"02033,02141,02301,02566",2025-11-20 06:23:00,2025-11-20 06:24:00,Nassau County,CAREFUL BUS,16-30 Min,1,No,No,No,2025-11-20 06:24:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2033353,Special Ed AM Run,33D,Q416,Other,"27053,27253",2025-11-20 07:36:00,2025-11-20 07:38:00,Queens,"LORINDA ENTERPRISES, LTD.",31-45 Min,0,No,No,No,2025-11-20 07:38:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2033495,Special Ed PM Run,52135,Y221,Heavy Traffic,"10017,10020",2025-11-20 13:21:00,2025-11-20 13:22:00,Bronx,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,No,No,2025-11-20 13:22:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2033641,Special Ed AM Run,2566,Q699,Other,"24027,24612",2025-11-21 06:21:00,2025-11-21 06:23:00,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,16-30 Min,0,Yes,Yes,Yes,2025-11-21 06:23:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2033773,Special Ed AM Run,2207,Q433,Other,"28160,28402",2025-11-21 07:22:00,2025-11-21 07:23:00,Brooklyn,ALLIED TRANSIT CORP.,31-45 Min,4,No,No,No,2025-11-21 07:23:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2033900,Special Ed AM Run,01492,K015,Heavy Traffic,"16309,16409,16455",2025-11-21 08:00:00,2025-11-21 08:02:00,Brooklyn,"BORO TRANSIT, INC.",16-30 Min,0,Yes,No,No,2025-11-21 08:02:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2033997,Special Ed PM Run,2423,N144,Heavy Traffic,"05008,05014,05041,05318,05499",2025-11-21 14:07:00,2025-11-21 14:30:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,Yes,Yes,No,2025-11-21 14:30:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2034121,Special Ed AM Run,2614,N047,Problem Run,"02655,02908,02948",2025-11-24 06:00:00,2025-11-24 06:28:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-11-24 06:28:00,,1900-01-01 00:00:00,Running Late,School-Age
2008-2009,886100,Special Ed AM Run,9806,M906,,03785,2009-05-04 06:35:00,2009-05-04 07:58:00,Bronx,USA UNITED FLEET,,0,Yes,Yes,No,2009-05-04 07:58:00,,2009-05-04 08:01:20,Breakdown,School-Age
2025-2026,2034346,Special Ed AM Run,12539,K088,Heavy Traffic,"16010,16026,16308,16464,16681",2025-11-24 07:56:00,2025-11-24 07:58:00,Brooklyn,"BORO TRANSIT, INC.",16-30 Min,5,Yes,No,No,2025-11-24 07:58:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2034425,General Ed PM Run,3177,K9555,Won`t Start,"15406,15497,15675",2025-11-24 12:25:00,2025-11-24 12:29:00,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,,0,Yes,Yes,Yes,2025-11-24 12:29:00,,1900-01-01 00:00:00,Breakdown,School-Age
2025-2026,2034550,Special Ed AM Run,79,X985,Heavy Traffic,"10086,10340,10518",2025-11-25 05:30:00,2025-11-25 05:43:00,Bronx,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-11-25 05:43:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2034652,Special Ed AM Run,10473,K013,Other,"16035,16262,16457,16489,16628",2025-11-25 06:38:00,2025-11-25 06:41:00,Brooklyn,"BORO TRANSIT, INC.",16-30 Min,0,No,No,No,2025-11-25 06:41:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2034785,Special Ed AM Run,1707,N372,Problem Run,"02312,02333,02530,02613,02911,02983",2025-11-25 07:30:00,2025-11-25 07:43:00,Nassau County,LEESEL TRANSPORTATION CORP (B2192),16-30 Min,0,No,No,No,2025-11-25 07:43:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2034918,Special Ed PM Run,5585,Q026,Heavy Traffic,"24075,24434,24467",2025-11-25 13:43:00,2025-11-25 13:45:00,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,0-15 Min,0,Yes,No,Yes,2025-11-25 13:45:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2035048,General Ed AM Run,631,K1565,Other,"16040,19012,23155,23178",2025-11-26 06:31:00,2025-11-26 06:32:00,Brooklyn,ALL AMERICAN SCHOOL BUS CORP.,16-30 Min,0,Yes,Yes,Yes,2025-11-26 06:32:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2035172,Pre-K/EI,PL1270,NT01,Heavy Traffic,C472,2025-11-26 07:15:00,2025-11-26 07:36:00,Queens,ALINA SERVICES CORP.,16-30 Min,15,Yes,Yes,Yes,2025-11-26 07:36:00,,1900-01-01 00:00:00,Running Late,Pre-K
2025-2026,2035315,Special Ed PM Run,86049,M174,Other,"02301,02566",2025-11-26 15:40:00,2025-11-26 15:43:00,Manhattan,"BORO TRANSIT, INC.",,3,Yes,No,No,2025-11-26 15:43:00,,2025-11-26 15:49:26,Breakdown,School-Age
2025-2026,2035445,General Ed AM Run,1725,K1428,Other,14588,2025-12-01 06:34:00,2025-12-01 06:34:00,Brooklyn,ALLIED TRANSIT CORP.,31-45 Min,0,No,No,No,2025-12-01 06:34:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2035556,Special Ed AM Run,1378,K857,Other,"20535,21572",2025-12-01 07:19:00,2025-12-01 07:21:00,Brooklyn,Y & M TRANSIT CORP (B2192),46-60 Min,0,Yes,Yes,No,2025-12-01 07:21:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2035682,Special Ed AM Run,MW251,W811,Heavy Traffic,75550,2025-12-01 08:13:00,2025-12-01 08:14:00,Westchester,MAR-CAN TRANSPORT CO. INC (B2192),16-30 Min,2,No,No,No,2025-12-01 08:14:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2035800,Special Ed AM Run,20015,Q211,Heavy Traffic,30119,2025-12-02 05:10:00,2025-12-02 05:13:00,Queens,L & M BUS CORP (A),61-90 Min,0,Yes,Yes,No,2025-12-02 05:13:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2035933,Special Ed AM Run,101,N592,Heavy Traffic,"01015,01063,01419,01461",2025-12-02 06:26:00,2025-12-02 06:27:00,Nassau County,CAREFUL BUS,16-30 Min,1,No,No,No,2025-12-02 06:27:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2036051,Special Ed AM Run,1126,K142,Heavy Traffic,"22207,22222,22490",2025-12-02 07:23:00,2025-12-02 07:25:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,15,Yes,Yes,No,2025-12-02 07:25:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2036156,Special Ed AM Run,1369,P890,Delayed by School,"24520,24535",2025-12-02 07:14:00,2025-12-02 08:07:00,All Boroughs,LEESEL TRANSPORTATION CORP (B2192),0-15 Min,5,No,No,No,2025-12-02 08:07:00,,1900-01-01 00:00:00,Running Late,School-Age
2025-2026,2036277,Special Ed AM Run,19009,K269,Heavy Traffic,"18219,18465,18581",2025-12-03 05:10:00,2025-12-03 05:27:00,Brooklyn,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,Yes,Yes,No,2025-12-03 05:27:00,,1900-01-01 00:00:00,Running Late,School-Age
